DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
27-Mar-2026,EQ,"1,785.00","1,819.00","1,785.00","1,795.40","1,794.00","1,793.60","1,799.10","1,851.20","1,548.00",2975423,"5,35,30,82,581.30",135665
25-Mar-2026,EQ,"1,766.70","1,809.50","1,755.50","1,753.30","1,800.00","1,795.40","1,785.66","1,851.20","1,548.00",1900794,"3,39,41,67,606.50",125871
24-Mar-2026,EQ,"1,775.00","1,779.90","1,745.10","1,758.40","1,752.80","1,753.30","1,761.15","1,851.20","1,548.00",2040152,"3,59,30,14,970.10",119804
23-Mar-2026,EQ,"1,774.80","1,775.00","1,741.10","1,777.10","1,747.10","1,758.40","1,764.85","1,851.20","1,548.00",2783613,"4,91,26,46,743.70",121645
20-Mar-2026,EQ,"1,755.10","1,781.30","1,754.30","1,744.40","1,770.60","1,777.10","1,774.66","1,851.20","1,548.00",3591446,"6,37,36,12,720.00",78694
19-Mar-2026,EQ,"1,760.50","1,784.00","1,737.90","1,778.30","1,749.70","1,744.40","1,752.56","1,851.20","1,548.00",2301164,"4,03,29,17,387.90",83082
18-Mar-2026,EQ,"1,799.60","1,805.00","1,773.20","1,794.40","1,781.50","1,778.30","1,786.76","1,851.20","1,548.00",2436459,"4,35,33,56,898.20",90241
17-Mar-2026,EQ,"1,794.10","1,806.10","1,781.10","1,783.20","1,794.50","1,794.40","1,795.18","1,851.20","1,548.00",1979497,"3,55,35,62,223.70",129978
16-Mar-2026,EQ,"1,801.60","1,818.00","1,768.80","1,801.60","1,776.00","1,783.20","1,785.28","1,851.20","1,548.00",2452391,"4,37,82,06,186.40",120063
13-Mar-2026,EQ,"1,822.00","1,833.30","1,797.00","1,825.30","1,802.00","1,801.60","1,810.04","1,851.20","1,548.00",2554627,"4,62,39,65,368.90",166930
12-Mar-2026,EQ,"1,828.00","1,833.60","1,808.40","1,825.90","1,827.00","1,825.30","1,825.31","1,851.20","1,548.00",2606057,"4,75,68,69,064.90",128965
11-Mar-2026,EQ,"1,823.00","1,843.00","1,818.10","1,812.80","1,824.00","1,825.90","1,830.67","1,851.20","1,548.00",2510495,"4,59,58,76,381.50",159363
10-Mar-2026,EQ,"1,810.00","1,825.10","1,803.30","1,807.40","1,812.00","1,812.80","1,812.29","1,851.20","1,548.00",3298680,"5,97,81,57,055.00",123750
09-Mar-2026,EQ,"1,772.90","1,815.00","1,770.00","1,799.40","1,805.00","1,807.40","1,796.08","1,851.20","1,548.00",4112775,"7,38,68,59,842.70",221649
06-Mar-2026,EQ,"1,784.50","1,805.60","1,771.80","1,784.50","1,793.50","1,799.40","1,797.42","1,851.20","1,548.00",3669921,"6,59,63,85,331.30",166486
05-Mar-2026,EQ,"1,750.00","1,794.90","1,748.00","1,750.50","1,783.70","1,784.50","1,782.03","1,851.20","1,548.00",3600895,"6,41,68,89,655.70",227357
04-Mar-2026,EQ,"1,721.20","1,757.20","1,721.00","1,752.50","1,750.00","1,750.50","1,745.68","1,851.20","1,548.00",4914857,"8,57,97,81,846.40",180680
02-Mar-2026,EQ,"1,712.00","1,759.90","1,712.00","1,737.00","1,753.20","1,752.50","1,742.46","1,851.20","1,548.00",3919270,"6,82,91,78,557.70",150940
27-Feb-2026,EQ,"1,779.00","1,788.10","1,730.90","1,785.70","1,742.90","1,737.00","1,751.28","1,851.20","1,548.00",3041489,"5,32,64,87,549.70",94899
26-Feb-2026,EQ,"1,764.20","1,792.20","1,760.30","1,764.20","1,787.50","1,785.70","1,780.08","1,851.20","1,548.00",2076586,"3,69,64,80,667.50",128189
25-Feb-2026,EQ,"1,742.00","1,770.40","1,733.40","1,731.80","1,763.30","1,764.20","1,760.18","1,851.20","1,548.00",1200997,"2,11,39,70,010.50",94816
24-Feb-2026,EQ,"1,732.00","1,745.90","1,723.70","1,732.30","1,737.80","1,731.80","1,734.79","1,851.20","1,548.00",2769363,"4,80,42,66,424.30",91605
23-Feb-2026,EQ,"1,732.90","1,735.80","1,720.20","1,724.40","1,732.00","1,732.30","1,728.21","1,851.20","1,548.00",1550400,"2,67,94,24,359.10",51742
20-Feb-2026,EQ,"1,710.10","1,727.00","1,708.10","1,713.40","1,724.00","1,724.40","1,722.21","1,851.20","1,548.00",1203988,"2,07,35,25,847.40",35649
19-Feb-2026,EQ,"1,722.20","1,727.00","1,710.00","1,724.40","1,710.10","1,713.40","1,719.67","1,851.20","1,548.00",1143429,"1,96,63,17,642.30",47406
18-Feb-2026,EQ,"1,720.40","1,730.60","1,717.10","1,717.10","1,725.50","1,724.40","1,725.51","1,851.20","1,548.00",1262429,"2,17,83,31,032.50",47912
17-Feb-2026,EQ,"1,696.00","1,719.00","1,693.90","1,700.50","1,716.60","1,717.10","1,714.57","1,851.20","1,548.00",1053855,"1,80,69,12,917.60",46102
16-Feb-2026,EQ,"1,697.50","1,715.00","1,693.40","1,697.50","1,698.40","1,700.50","1,700.03","1,851.20","1,548.00",1247403,"2,12,06,24,734.00",72604
13-Feb-2026,EQ,"1,714.90","1,719.00","1,694.60","1,714.90","1,699.10","1,697.50","1,704.75","1,851.20","1,548.00",1148165,"1,95,73,33,370.60",57795
12-Feb-2026,EQ,"1,714.80","1,719.00","1,701.20","1,711.10","1,714.60","1,714.90","1,713.50","1,851.20","1,548.00",1359444,"2,32,94,11,614.10",74644
11-Feb-2026,EQ,"1,715.00","1,716.70","1,702.50","1,707.80","1,706.00","1,711.10","1,710.17","1,851.20","1,548.00",1175501,"2,01,03,05,914.60",70325
10-Feb-2026,EQ,"1,709.60","1,719.80","1,702.10","1,704.60","1,706.00","1,707.80","1,710.17","1,851.20","1,548.00",1869988,"3,19,79,96,626.00",98706
09-Feb-2026,EQ,"1,706.70","1,713.40","1,696.00","1,695.10","1,706.00","1,704.60","1,707.59","1,851.20","1,548.00",2647031,"4,52,00,52,868.60",79298
06-Feb-2026,EQ,"1,709.00","1,709.00","1,689.60","1,702.60","1,694.70","1,695.10","1,695.07","1,851.20","1,548.00",1277116,"2,16,47,98,273.10",73261
05-Feb-2026,EQ,"1,699.00","1,710.00","1,684.30","1,704.40","1,703.10","1,702.60","1,700.80","1,851.20","1,548.00",3074842,"5,22,96,86,194.90",108065
04-Feb-2026,EQ,"1,714.90","1,729.00","1,695.30","1,702.10","1,703.00","1,704.40","1,708.83","1,851.20","1,548.00",3952775,"6,75,46,24,884.10",203292
03-Feb-2026,EQ,"1,709.90","1,725.00","1,671.00","1,627.90","1,702.10","1,702.10","1,697.42","1,851.20","1,548.00",8520586,"14,46,30,23,469.70",271636
02-Feb-2026,EQ,"1,634.00","1,634.00","1,598.20","1,610.10","1,628.90","1,627.90","1,617.48","1,851.20","1,548.00",2721280,"4,40,16,05,386.30",95488
01-Feb-2026,EQ,"1,640.00","1,655.70","1,590.00","1,595.30","1,609.00","1,610.10","1,622.66","1,851.20","1,548.00",2373624,"3,85,15,90,231.00",75134
30-Jan-2026,EQ,"1,589.30","1,606.50","1,585.10","1,589.30","1,595.00","1,595.30","1,595.94","1,851.20","1,548.00",3962196,"6,32,34,38,391.20",78221
29-Jan-2026,EQ,"1,625.00","1,625.00","1,583.70","1,610.60","1,590.50","1,589.30","1,592.48","1,851.20","1,548.00",5796513,"9,23,08,41,196.30",115745
28-Jan-2026,EQ,"1,639.90","1,649.30","1,600.00","1,638.90","1,608.00","1,610.60","1,608.34","1,851.20","1,548.00",4124391,"6,63,34,43,587.30",62966
27-Jan-2026,EQ,"1,658.20","1,658.20","1,622.30","1,631.90","1,639.00","1,638.90","1,635.62","1,851.20","1,548.00",2666522,"4,36,14,06,722.70",115421
23-Jan-2026,EQ,"1,640.00","1,648.90","1,625.40","1,634.20","1,633.00","1,631.90","1,634.48","1,851.20","1,548.00",1678658,"2,74,37,40,097.20",65473
22-Jan-2026,EQ,"1,614.10","1,646.50","1,613.20","1,612.90","1,635.50","1,634.20","1,627.51","1,851.20","1,548.00",2279862,"3,71,04,88,528.80",88059
21-Jan-2026,EQ,"1,637.00","1,645.00","1,607.70","1,613.80","1,615.00","1,612.90","1,620.54","1,851.20","1,548.00",3947877,"6,39,76,91,085.60",131871
20-Jan-2026,EQ,"1,674.10","1,674.10","1,602.80","1,675.40","1,621.30","1,613.80","1,632.88","1,851.20","1,548.00",5019166,"8,19,57,03,287.60",156302
19-Jan-2026,EQ,"1,650.00","1,687.30","1,600.00","1,668.90","1,674.90","1,675.40","1,668.73","1,851.20","1,548.00",2975272,"4,96,49,16,396.50",98665
16-Jan-2026,EQ,"1,708.00","1,708.00","1,659.30","1,700.70","1,671.10","1,668.90","1,671.95","1,851.20","1,548.00",3697596,"6,18,21,81,392.60",249009
14-Jan-2026,EQ,"1,737.10","1,737.10","1,689.20","1,728.70","1,706.30","1,700.70","1,701.62","1,851.20","1,548.00",2479677,"4,21,94,72,604.00",94476
13-Jan-2026,EQ,"1,743.00","1,743.80","1,712.10","1,736.00","1,727.90","1,728.70","1,722.48","1,851.20","1,548.00",1770082,"3,04,89,35,591.50",42237
12-Jan-2026,EQ,"1,732.10","1,744.30","1,714.10","1,729.90","1,736.00","1,736.00","1,727.20","1,851.20","1,548.00",2327272,"4,01,96,74,449.10",77257
09-Jan-2026,EQ,"1,765.20","1,765.20","1,727.00","1,760.70","1,737.00","1,729.90","1,736.65","1,865.00","1,548.00",1585689,"2,75,37,81,398.50",49564
08-Jan-2026,EQ,"1,766.00","1,778.60","1,757.70","1,782.60","1,760.00","1,760.70","1,767.33","1,865.00","1,548.00",1910656,"3,37,67,54,053.20",73921
07-Jan-2026,EQ,"1,755.00","1,806.60","1,748.50","1,760.20","1,783.40","1,782.60","1,778.55","1,865.00","1,548.00",3059500,"5,44,14,74,788.80",88117
06-Jan-2026,EQ,"1,725.70","1,762.60","1,725.70","1,728.90","1,760.00","1,760.20","1,749.19","1,865.00","1,548.00",1658801,"2,90,15,52,531.80",63551
05-Jan-2026,EQ,"1,728.00","1,746.00","1,723.40","1,728.00","1,725.70","1,728.90","1,735.55","1,865.00","1,548.00",1416698,"2,45,87,55,201.20",55519
02-Jan-2026,EQ,"1,721.10","1,732.00","1,719.40","1,721.10","1,729.90","1,728.00","1,726.20","1,910.00","1,548.00",974123,"1,68,15,33,428.70",29743
01-Jan-2026,EQ,"1,720.00","1,726.00","1,708.90","1,719.70","1,725.00","1,721.10","1,718.56","1,910.00","1,548.00",877515,"1,50,80,57,870.40",31190
31-Dec-2025,EQ,"1,720.20","1,725.60","1,715.50","1,720.20","1,720.00","1,719.70","1,720.23","1,910.00","1,548.00",1428439,"2,45,72,49,596.70",77219
30-Dec-2025,EQ,"1,723.10","1,723.10","1,707.00","1,717.20","1,720.00","1,720.20","1,717.43","1,910.00","1,548.00",2639497,"4,53,31,47,074.40",102167
29-Dec-2025,EQ,"1,719.50","1,727.50","1,710.30","1,719.50","1,718.00","1,717.20","1,720.24","1,910.00","1,548.00",1800816,"3,09,78,41,347.80",68826
26-Dec-2025,EQ,"1,737.00","1,737.00","1,708.00","1,737.00","1,720.00","1,719.50","1,716.05","1,910.00","1,548.00",2507337,"4,30,27,18,010.20",101172
24-Dec-2025,EQ,"1,755.90","1,759.00","1,719.00","1,755.90","1,737.90","1,737.00","1,735.44","1,910.00","1,548.00",2224786,"3,86,09,88,802.40",86875
23-Dec-2025,EQ,"1,772.00","1,774.60","1,751.70","1,769.80","1,753.40","1,755.90","1,763.78","1,910.00","1,548.00",1124853,"1,98,39,92,874.40",46712
22-Dec-2025,EQ,"1,744.90","1,773.20","1,743.10","1,744.90","1,771.50","1,769.80","1,762.72","1,910.00","1,548.00",1467257,"2,58,63,58,736.70",81361
19-Dec-2025,EQ,"1,747.00","1,760.00","1,741.20","1,745.90","1,745.50","1,744.90","1,746.75","1,910.00","1,548.00",2768986,"4,83,67,24,716.50",77946
18-Dec-2025,EQ,"1,785.00","1,785.00","1,736.00","1,792.90","1,746.00","1,745.90","1,747.03","1,910.00","1,548.00",3461351,"6,04,70,88,657.00",182076
17-Dec-2025,EQ,"1,781.00","1,797.60","1,771.50","1,781.30","1,789.50","1,792.90","1,787.62","1,910.00","1,548.00",1910628,"3,41,54,85,604.30",100983
16-Dec-2025,EQ,"1,790.00","1,791.90","1,778.30","1,797.10","1,783.20","1,781.30","1,784.82","1,910.00","1,548.00",1533979,"2,73,78,81,656.50",86772
15-Dec-2025,EQ,"1,779.00","1,804.60","1,777.60","1,793.50","1,797.10","1,797.10","1,790.31","1,910.00","1,548.00",1396948,"2,50,09,65,159.50",77261
12-Dec-2025,EQ,"1,808.00","1,811.80","1,791.00","1,807.20","1,794.20","1,793.50","1,798.37","1,910.00","1,548.00",1442309,"2,59,37,98,717.00",65597
11-Dec-2025,EQ,"1,778.00","1,810.50","1,775.10","1,785.50","1,807.00","1,807.20","1,798.06","1,910.00","1,548.00",1280916,"2,30,31,64,558.40",56389
10-Dec-2025,EQ,"1,787.90","1,791.70","1,767.90","1,776.00","1,788.50","1,785.50","1,780.60","1,910.00","1,548.00",2321746,"4,13,41,11,472.50",93159
09-Dec-2025,EQ,"1,796.00","1,801.20","1,772.00","1,796.20","1,774.20","1,776.00","1,785.37","1,910.00","1,548.00",2401728,"4,28,79,83,738.50",92205
08-Dec-2025,EQ,"1,805.30","1,806.00","1,785.70","1,805.30","1,794.90","1,796.20","1,795.15","1,910.00","1,548.00",2410074,"4,32,64,36,545.90",83796
05-Dec-2025,EQ,"1,819.00","1,820.20","1,800.20","1,818.30","1,805.00","1,805.30","1,807.51","1,910.00","1,548.00",1777401,"3,21,26,76,828.70",73764
04-Dec-2025,EQ,"1,808.40","1,823.20","1,798.30","1,806.70","1,813.70","1,818.30","1,813.77","1,910.00","1,548.00",1713961,"3,10,87,39,244.30",80509
03-Dec-2025,EQ,"1,805.00","1,816.00","1,782.50","1,799.50","1,803.00","1,806.70","1,798.78","1,910.00","1,548.00",2114510,"3,80,35,37,503.70",69470
02-Dec-2025,EQ,"1,804.00","1,814.90","1,788.60","1,807.40","1,804.90","1,799.50","1,797.04","1,910.00","1,548.00",2948688,"5,29,89,16,752.90",81274
01-Dec-2025,EQ,"1,841.00","1,849.00","1,801.00","1,831.60","1,809.00","1,807.40","1,813.24","1,910.00","1,548.00",1869293,"3,38,94,71,341.60",90208
28-Nov-2025,EQ,"1,810.30","1,833.00","1,807.50","1,810.30","1,832.00","1,831.60","1,824.62","1,910.00","1,548.00",1623103,"2,96,15,41,704.40",75151
27-Nov-2025,EQ,"1,802.10","1,814.90","1,802.10","1,804.90","1,809.50","1,810.30","1,811.18","1,910.00","1,548.00",2902053,"5,25,61,51,678.60",72954
26-Nov-2025,EQ,"1,775.50","1,806.90","1,773.60","1,776.80","1,805.50","1,804.90","1,796.22","1,910.00","1,548.00",1158948,"2,08,17,21,104.30",59574
25-Nov-2025,EQ,"1,785.00","1,792.10","1,766.10","1,780.80","1,767.80","1,776.80","1,782.02","1,910.00","1,548.00",1848114,"3,29,33,79,741.50",81893
24-Nov-2025,EQ,"1,785.90","1,785.90","1,771.80","1,779.70","1,782.00","1,780.80","1,779.46","1,910.00","1,548.00",3434492,"6,11,15,31,098.50",75407
21-Nov-2025,EQ,"1,778.00","1,787.40","1,773.70","1,777.40","1,782.70","1,779.70","1,779.36","1,910.00","1,548.00",2199311,"3,91,33,63,499.80",105515
20-Nov-2025,EQ,"1,790.00","1,792.00","1,773.10","1,784.10","1,776.80","1,777.40","1,779.52","1,910.00","1,548.00",1513894,"2,69,40,11,205.90",92396
19-Nov-2025,EQ,"1,762.00","1,790.30","1,751.10","1,758.80","1,786.50","1,784.10","1,780.63","1,910.00","1,548.00",2131124,"3,79,47,46,306.70",77851
18-Nov-2025,EQ,"1,764.00","1,764.50","1,750.00","1,763.90","1,759.50","1,758.80","1,757.88","1,910.00","1,548.00",1429522,"2,51,29,26,399.20",68012
17-Nov-2025,EQ,"1,765.80","1,768.00","1,747.70","1,757.10","1,764.00","1,763.90","1,760.29","1,910.00","1,548.00",1430618,"2,51,82,99,050.20",57594
14-Nov-2025,EQ,"1,737.40","1,760.10","1,734.70","1,737.40","1,755.00","1,757.10","1,752.44","1,910.00","1,548.00",1667322,"2,92,18,86,946.20",76895
13-Nov-2025,EQ,"1,734.50","1,747.80","1,725.40","1,732.10","1,737.90","1,737.40","1,738.76","1,910.00","1,548.00",1727602,"3,00,38,79,371.50",98434
12-Nov-2025,EQ,"1,721.40","1,744.10","1,710.20","1,716.10","1,733.00","1,732.10","1,731.35","1,910.00","1,548.00",1833097,"3,17,37,31,087.80",87893
11-Nov-2025,EQ,"1,701.60","1,719.00","1,695.00","1,697.80","1,719.00","1,716.10","1,707.49","1,910.00","1,548.00",1315353,"2,24,59,51,680.50",63980
10-Nov-2025,EQ,"1,697.50","1,703.10","1,685.80","1,691.40","1,692.80","1,697.80","1,696.74","1,910.00","1,548.00",1235665,"2,09,65,99,832.10",57380
07-Nov-2025,EQ,"1,694.00","1,710.00","1,683.10","1,685.90","1,692.70","1,691.40","1,692.91","1,910.00","1,548.00",1512908,"2,56,12,16,151.00",59783
06-Nov-2025,EQ,"1,699.00","1,723.90","1,667.00","1,690.00","1,686.00","1,685.90","1,692.12","1,910.00","1,548.00",3389867,"5,73,60,74,739.20",109525
04-Nov-2025,EQ,"1,707.00","1,711.20","1,682.20","1,706.40","1,702.70","1,690.00","1,689.70","1,910.00","1,548.00",1597993,"2,70,01,34,809.50",69263
03-Nov-2025,EQ,"1,688.20","1,712.80","1,681.20","1,690.70","1,706.60","1,706.40","1,700.86","1,910.00","1,548.00",1099955,"1,87,08,65,995.10",66768
31-Oct-2025,EQ,"1,700.00","1,705.00","1,686.80","1,703.40","1,691.00","1,690.70","1,694.77","1,922.70","1,548.00",1560918,"2,64,53,95,136.00",57399
30-Oct-2025,EQ,"1,715.80","1,716.90","1,680.10","1,715.90","1,701.00","1,703.40","1,697.33","1,922.70","1,548.00",1986233,"3,37,13,00,594.20",53721
29-Oct-2025,EQ,"1,690.00","1,722.00","1,687.30","1,687.00","1,710.00","1,715.90","1,712.48","1,922.70","1,548.00",1016738,"1,74,11,47,604.10",53215
28-Oct-2025,EQ,"1,692.00","1,702.70","1,679.20","1,693.60","1,692.80","1,687.00","1,687.76","1,922.70","1,548.00",2440939,"4,11,97,23,102.50",115817
27-Oct-2025,EQ,"1,701.00","1,708.50","1,690.00","1,699.00","1,694.90","1,693.60","1,694.51","1,922.70","1,548.00",2067904,"3,50,40,75,902.30",70214
24-Oct-2025,EQ,"1,690.00","1,701.90","1,686.00","1,689.90","1,696.50","1,699.00","1,695.87","1,922.70","1,548.00",994307,"1,68,62,19,973.60",37261
23-Oct-2025,EQ,"1,705.00","1,712.00","1,682.20","1,690.50","1,695.00","1,689.90","1,696.58","1,922.70","1,548.00",2687094,"4,55,88,80,345.70",102461
21-Oct-2025,EQ,"1,690.00","1,696.00","1,684.00","1,688.60","1,684.00","1,690.50","1,691.45","1,922.70","1,548.00",74296,"12,56,67,651.70",6234
20-Oct-2025,EQ,"1,684.90","1,696.90","1,682.80","1,679.10","1,687.60","1,688.60","1,690.74","1,922.70","1,548.00",1647622,"2,78,56,96,098.70",59079
17-Oct-2025,EQ,"1,658.20","1,692.00","1,656.70","1,659.00","1,678.10","1,679.10","1,678.86","1,923.65","1,548.00",1594147,"2,67,63,47,202.70",46686
16-Oct-2025,EQ,"1,654.00","1,662.90","1,643.20","1,655.10","1,656.40","1,659.00","1,651.92","1,923.65","1,548.00",2895957,"4,78,38,96,929.70",88190
15-Oct-2025,EQ,"1,652.50","1,668.70","1,650.10","1,654.40","1,652.70","1,655.10","1,659.04","1,923.65","1,548.00",2088737,"3,46,52,98,596.30",74773
14-Oct-2025,EQ,"1,667.60","1,669.90","1,646.20","1,668.40","1,652.10","1,654.40","1,655.96","1,923.65","1,548.00",2108287,"3,49,12,33,351.60",78881
13-Oct-2025,EQ,"1,662.50","1,675.00","1,655.80","1,670.90","1,666.80","1,668.40","1,665.56","1,923.65","1,548.00",1375179,"2,29,04,48,266.10",51423
10-Oct-2025,EQ,"1,655.00","1,676.60","1,649.00","1,658.50","1,670.00","1,670.90","1,667.02","1,947.00","1,548.00",1454056,"2,42,39,47,453.80",56724
09-Oct-2025,EQ,"1,645.00","1,662.30","1,632.40","1,631.60","1,654.60","1,658.50","1,650.89","1,947.00","1,548.00",2197566,"3,62,79,31,105.00",74600
08-Oct-2025,EQ,"1,645.00","1,655.00","1,629.00","1,653.10","1,631.10","1,631.60","1,639.14","1,947.00","1,548.00",1846507,"3,02,66,75,494.40",60204
07-Oct-2025,EQ,"1,649.40","1,663.00","1,647.00","1,654.70","1,655.50","1,653.10","1,654.55","1,947.00","1,548.00",2174852,"3,59,84,02,691.00",72158
06-Oct-2025,EQ,"1,630.00","1,659.70","1,620.00","1,631.20","1,653.30","1,654.70","1,646.65","1,947.00","1,548.00",1756916,"2,89,30,19,630.60",63552
03-Oct-2025,EQ,"1,600.00","1,645.50","1,600.00","1,636.20","1,632.00","1,631.20","1,624.25","1,960.35","1,548.00",4041865,"6,56,50,00,344.40",117636
01-Oct-2025,EQ,"1,611.90","1,651.50","1,611.90","1,594.30","1,639.00","1,636.20","1,632.09","1,960.35","1,548.00",3109095,"5,07,43,19,855.30",112643
30-Sep-2025,EQ,"1,589.10","1,604.30","1,586.00","1,589.30","1,598.00","1,594.30","1,595.73","1,960.35","1,548.00",2257443,"3,60,22,63,212.70",142340
29-Sep-2025,EQ,"1,581.00","1,618.90","1,580.00","1,586.70","1,599.00","1,589.30","1,595.86","1,960.35","1,548.00",4180922,"6,67,21,55,474.00",120424
26-Sep-2025,EQ,"1,585.00","1,602.90","1,548.00","1,627.40","1,585.00","1,586.70","1,579.57","1,960.35","1,548.00",7256759,"11,46,25,53,711.20",323315
25-Sep-2025,EQ,"1,627.90","1,642.80","1,622.70","1,627.10","1,625.00","1,627.40","1,631.69","1,960.35","1,553.05",2762750,"4,50,79,47,621.80",97266
24-Sep-2025,EQ,"1,630.00","1,635.90","1,625.00","1,631.20","1,626.80","1,627.10","1,629.95","1,960.35","1,553.05",1131058,"1,84,35,62,407.60",52593
23-Sep-2025,EQ,"1,643.20","1,644.00","1,625.10","1,644.00","1,632.80","1,631.20","1,633.78","1,960.35","1,553.05",1967731,"3,21,48,30,325.50",103928
22-Sep-2025,EQ,"1,650.00","1,657.90","1,635.30","1,656.00","1,636.50","1,644.00","1,645.34","1,960.35","1,553.05",1785320,"2,93,74,62,349.80",56322
19-Sep-2025,EQ,"1,648.60","1,668.10","1,643.10","1,648.60","1,658.00","1,656.00","1,656.51","1,960.35","1,553.05",3191406,"5,28,65,90,629.40",83455
18-Sep-2025,EQ,"1,635.10","1,651.30","1,627.70","1,620.20","1,648.50","1,648.60","1,640.32","1,960.35","1,553.05",1832386,"3,00,57,07,256.80",64581
17-Sep-2025,EQ,"1,612.60","1,622.10","1,607.40","1,610.50","1,620.80","1,620.20","1,615.16","1,960.35","1,553.05",2128406,"3,43,77,07,744.30",53352
16-Sep-2025,EQ,"1,602.50","1,615.00","1,600.00","1,602.00","1,611.00","1,610.50","1,607.61","1,960.35","1,553.05",1480567,"2,38,01,77,490.30",83157
15-Sep-2025,EQ,"1,616.60","1,617.10","1,595.40","1,616.60","1,601.50","1,602.00","1,606.19","1,960.35","1,553.05",2005917,"3,22,18,74,135.40",105073
12-Sep-2025,EQ,"1,610.00","1,622.50","1,603.10","1,609.70","1,610.20","1,616.60","1,615.46","1,960.35","1,553.05",1878894,"3,03,52,87,314.20",52998
11-Sep-2025,EQ,"1,592.50","1,617.00","1,591.00","1,593.40","1,608.90","1,609.70","1,607.23","1,960.35","1,553.05",1762484,"2,83,27,08,940.50",66195
10-Sep-2025,EQ,"1,592.10","1,601.60","1,582.40","1,591.70","1,594.60","1,593.40","1,592.35","1,960.35","1,553.05",2408379,"3,83,49,79,672.70",88579
09-Sep-2025,EQ,"1,580.00","1,597.00","1,577.50","1,581.00","1,594.00","1,591.70","1,586.90","1,960.35","1,553.05",1709406,"2,71,26,48,009.90",45519
08-Sep-2025,EQ,"1,597.60","1,604.50","1,578.20","1,593.60","1,580.00","1,581.00","1,589.97","1,960.35","1,553.05",1369139,"2,17,68,92,094.20",52220
05-Sep-2025,EQ,"1,582.40","1,599.30","1,575.50","1,582.30","1,592.90","1,593.60","1,588.21","1,960.35","1,553.05",1814479,"2,88,17,77,269.40",53060
04-Sep-2025,EQ,"1,597.00","1,597.00","1,561.00","1,578.70","1,581.00","1,582.30","1,574.22","1,960.35","1,553.05",2298657,"3,61,85,88,413.70",96595
03-Sep-2025,EQ,"1,562.10","1,581.10","1,558.30","1,565.20","1,579.90","1,578.70","1,572.65","1,960.35","1,553.05",2091370,"3,28,89,99,359.40",86241
02-Sep-2025,EQ,"1,566.00","1,570.30","1,558.00","1,563.30","1,564.70","1,565.20","1,563.86","1,960.35","1,553.05",2855840,"4,46,61,33,724.50",106657
01-Sep-2025,EQ,"1,599.00","1,600.20","1,556.20","1,594.50","1,564.00","1,563.30","1,566.60","1,960.35","1,553.05",9366820,"14,67,40,80,758.80",156372
29-Aug-2025,EQ,"1,581.00","1,601.70","1,575.80","1,585.70","1,595.70","1,594.50","1,592.22","1,960.35","1,553.05",3176534,"5,05,77,29,740.10",131996
28-Aug-2025,EQ,"1,593.10","1,600.00","1,567.60","1,600.30","1,587.90","1,585.70","1,580.01","1,960.35","1,553.05",4993739,"7,89,01,61,881.60",178923
